## Generation 0 
{'collision': 0, 'dist_obj': -385.36780254536984, 'exit_reached': 0.0, 'robot_pos': [20.176557540893555, 443.30462646484375, 2.0069119930267334]}
{'collision': 10, 'dist_obj': -430.35722734669054, 'exit_reached': 0.0, 'robot_pos': [19.262672424316406, 488.4248046875, 2.3853981494903564]}
{'collision': 24, 'dist_obj': -393.73588760461416, 'exit_reached': 0.0, 'robot_pos': [87.58846282958984, 452.7681579589844, 1.302192211151123]}
{'collision': 9, 'dist_obj': -390.0000000000007, 'exit_reached': 0.0, 'robot_pos': [59.999977111816406, 450.0, -2.8145947456359863]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 16, 'dist_obj': -379.0472045997217, 'exit_reached': 0.0, 'robot_pos': [64.83332061767578, 439.0163879394531, -0.2978540360927582]}
{'collision': 39, 'dist_obj': -486.80420825459834, 'exit_reached': 0.0, 'robot_pos': [17.792675018310547, 544.9710083007812, 1.9953802824020386]}
{'collision': 29, 'dist_obj': -371.92462960956163, 'exit_reached': 0.0, 'robot_pos': [16.650054931640625, 429.3896484375, -2.697786808013916]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.7983810964339, 'exit_reached': 0.0, 'robot_pos': [17.27288246154785, 408.18658447265625, 0.7493746280670166]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
