## Generation 0 
{'collision': 0, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 10, 'dist_obj': -517.9896996065554, 'exit_reached': 0.0, 'robot_pos': [58.131103515625, 577.986328125, 1.5853979587554932]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.814601182937622]}
{'collision': 1000, 'dist_obj': -389.0457681235347, 'exit_reached': 0.0, 'robot_pos': [60.76630401611328, 449.0450134277344, 2.508761167526245]}
{'collision': 42, 'dist_obj': -302.857468558319, 'exit_reached': 0.0, 'robot_pos': [16.915197372436523, 359.77716064453125, -2.0163848400115967]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 1000, 'dist_obj': -387.76126875144615, 'exit_reached': 0.0, 'robot_pos': [58.27825927734375, 447.7574462890625, 1.0469110012054443]}
{'collision': 56, 'dist_obj': -536.1283589685962, 'exit_reached': 0.0, 'robot_pos': [190.11367797851562, 580.1000366210938, 0.7852818369865417]}
{'collision': 366, 'dist_obj': -539.6672138153539, 'exit_reached': 0.0, 'robot_pos': [270.75372314453125, 556.8134155273438, 2.632765769958496]}
{'collision': 25, 'dist_obj': -351.3014224521952, 'exit_reached': 0.0, 'robot_pos': [17.04582977294922, 408.6654968261719, 0.7213500142097473]}
{'collision': 1000, 'dist_obj': -442.4597294405259, 'exit_reached': 0.0, 'robot_pos': [98.24562072753906, 500.8036804199219, -2.4149580001831055]}
{'collision': 45, 'dist_obj': -258.02119697177125, 'exit_reached': 0.0, 'robot_pos': [61.92613220214844, 318.0140075683594, 1.5853885412216187]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 52, 'dist_obj': -509.93128109268775, 'exit_reached': 0.0, 'robot_pos': [16.61151123046875, 568.08203125, 2.0200366973876953]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
