## Generation 0 
{'collision': 10, 'dist_obj': -519.1086552301574, 'exit_reached': 0.0, 'robot_pos': [17.540857315063477, 577.3693237304688, 2.385695219039917]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.015736227813, 'exit_reached': 0.0, 'robot_pos': [190.23043823242188, 579.9547119140625, 0.7828180193901062]}
{'collision': 29, 'dist_obj': -371.91708053980204, 'exit_reached': 0.0, 'robot_pos': [16.65761375427246, 429.3829345703125, -2.697068214416504]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 28, 'dist_obj': -374.24538275441574, 'exit_reached': 0.0, 'robot_pos': [19.84629249572754, 432.0850524902344, -2.7100751399993896]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 56, 'dist_obj': -536.1828988490009, 'exit_reached': 0.0, 'robot_pos': [190.0170440673828, 580.180419921875, 0.7869269251823425]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
