## Generation 0 
{'collision': 0, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 0, 'dist_obj': -389.98736579243973, 'exit_reached': 0.0, 'robot_pos': [59.99262237548828, 449.98736572265625, 2.500656843185425]}
{'collision': 0, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 10, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 132, 'dist_obj': -318.772193968164, 'exit_reached': 0.0, 'robot_pos': [192.62896728515625, 349.8711242675781, -2.818746566772461]}
{'collision': 1000, 'dist_obj': -374.63375608024967, 'exit_reached': 0.0, 'robot_pos': [86.20991516113281, 433.7157897949219, 2.550673007965088]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 63, 'dist_obj': -219.21538131654015, 'exit_reached': 0.0, 'robot_pos': [17.211345672607422, 274.9988708496094, -2.0263161659240723]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146018981933594]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 84, 'dist_obj': -523.8627540016275, 'exit_reached': 0.0, 'robot_pos': [228.94964599609375, 555.8711547851562, -0.6782783269882202]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 1000, 'dist_obj': -352.6979252039464, 'exit_reached': 0.0, 'robot_pos': [78.37348937988281, 412.2190246582031, 2.4516761302948]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1782585039484, 'exit_reached': 0.0, 'robot_pos': [17.561805725097656, 407.5971984863281, 0.7840079069137573]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 52, 'dist_obj': -520.7901981406992, 'exit_reached': 0.0, 'robot_pos': [26.29009246826172, 579.6980590820312, 2.4899721145629883]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 104, 'dist_obj': -437.01244788829564, 'exit_reached': 0.0, 'robot_pos': [323.53985595703125, 408.606689453125, -0.8145526051521301]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 21, 'dist_obj': -404.5082953277413, 'exit_reached': 0.0, 'robot_pos': [66.87007904052734, 464.449951171875, 0.26858291029930115]}
{'collision': 48, 'dist_obj': -517.3351486324301, 'exit_reached': 0.0, 'robot_pos': [68.41758728027344, 577.2666625976562, -1.6729810237884521]}
{'collision': 32, 'dist_obj': -355.17624729007434, 'exit_reached': 0.0, 'robot_pos': [18.22049331665039, 412.7104187011719, -2.4127070903778076]}
{'collision': 56, 'dist_obj': -536.1357886227836, 'exit_reached': 0.0, 'robot_pos': [190.10549926757812, 580.1097412109375, 0.7854348421096802]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 72, 'dist_obj': -488.0455285293431, 'exit_reached': 0.0, 'robot_pos': [277.02099609375, 497.1387939453125, -0.11118162423372269]}
{'collision': 16, 'dist_obj': -384.55477999092403, 'exit_reached': 0.0, 'robot_pos': [65.81961822509766, 444.5107421875, 0.10221391916275024]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 55, 'dist_obj': -530.2550392939995, 'exit_reached': 0.0, 'robot_pos': [163.214111328125, 580.1127319335938, 1.5853981971740723]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 31, 'dist_obj': -412.0010858473337, 'exit_reached': 0.0, 'robot_pos': [83.13359832763672, 471.3511047363281, -1.3314197063446045]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 32, 'dist_obj': -400.3215359238086, 'exit_reached': 0.0, 'robot_pos': [18.113285064697266, 458.1241455078125, 2.8411569595336914]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 34, 'dist_obj': -477.7875156501938, 'exit_reached': 0.0, 'robot_pos': [59.538204193115234, 537.7872924804688, -0.7187721133232117]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.000003814697266, 450.0, -1.8977872133255005]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 33, 'dist_obj': -436.3938619961768, 'exit_reached': 0.0, 'robot_pos': [17.551010131835938, 494.32440185546875, -1.141361951828003]}
{'collision': 1000, 'dist_obj': -424.0222413621977, 'exit_reached': 0.0, 'robot_pos': [233.4823455810547, 446.9092102050781, 1.0130724906921387]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 21, 'dist_obj': -378.109661877549, 'exit_reached': 0.0, 'robot_pos': [79.97620391845703, 437.58160400390625, 0.5022132396697998]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
