## Generation 0 
{'collision': 0, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 10, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 179, 'dist_obj': -242.59366955156875, 'exit_reached': 0.0, 'robot_pos': [50.602699279785156, 302.4115905761719, -1.6572532653808594]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 90, 'dist_obj': -206.22655351037557, 'exit_reached': 0.0, 'robot_pos': [18.230878829956055, 261.9523010253906, -2.16015625]}
{'collision': 25, 'dist_obj': -350.15240069963335, 'exit_reached': 0.0, 'robot_pos': [17.575204849243164, 407.5727844238281, 0.7854935526847839]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 56, 'dist_obj': -536.1394809984022, 'exit_reached': 0.0, 'robot_pos': [190.0989990234375, 580.1151733398438, 1.1854808330535889]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 50, 'dist_obj': -524.1184294135444, 'exit_reached': 0.0, 'robot_pos': [146.28305053710938, 576.9674682617188, 1.1624916791915894]}
{'collision': 56, 'dist_obj': -536.1161008120582, 'exit_reached': 0.0, 'robot_pos': [190.12513732910156, 580.0845336914062, 0.7849814295768738]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 34, 'dist_obj': -344.93992353929673, 'exit_reached': 0.0, 'robot_pos': [17.34522819519043, 402.2924499511719, -2.300577402114868]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 51, 'dist_obj': -519.0763914716001, 'exit_reached': 0.0, 'robot_pos': [45.57047653198242, 578.8757934570312, -1.5523122549057007]}
{'collision': 52, 'dist_obj': -527.9571244332449, 'exit_reached': 0.0, 'robot_pos': [156.09478759765625, 579.1382446289062, 1.1853981018066406]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -389.99993896484403, 'exit_reached': 0.0, 'robot_pos': [60.00001525878906, 449.99993896484375, -1.214609146118164]}
{'collision': 26, 'dist_obj': -417.6554341960375, 'exit_reached': 0.0, 'robot_pos': [75.30348205566406, 477.3749694824219, -0.16529160737991333]}
{'collision': 29, 'dist_obj': -371.92462960956163, 'exit_reached': 0.0, 'robot_pos': [16.650054931640625, 429.3896484375, -2.697786808013916]}
{'collision': 1000, 'dist_obj': -377.3903385677917, 'exit_reached': 0.0, 'robot_pos': [216.76254272460938, 403.2913818359375, 2.8253536224365234]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.814601182937622]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 104, 'dist_obj': -206.23531514547372, 'exit_reached': 0.0, 'robot_pos': [17.83426284790039, 261.8788146972656, -2.0027945041656494]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146002292633057]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0002136230782, 'exit_reached': 0.0, 'robot_pos': [60.00015640258789, 450.0002136230469, -2.8145751953125]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 16, 'dist_obj': -384.6761829179105, 'exit_reached': 0.0, 'robot_pos': [65.76202392578125, 444.6330261230469, 0.11477500200271606]}
{'collision': 214, 'dist_obj': -389.1972152301408, 'exit_reached': 0.0, 'robot_pos': [191.7219696044922, 426.2291564941406, -2.1912076473236084]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 64, 'dist_obj': -517.2305224620518, 'exit_reached': 0.0, 'robot_pos': [241.39675903320312, 544.3786010742188, 0.19842717051506042]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 55, 'dist_obj': -530.2550392939995, 'exit_reached': 0.0, 'robot_pos': [163.214111328125, 580.1127319335938, 1.5853981971740723]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 50, 'dist_obj': -520.4962866297743, 'exit_reached': 0.0, 'robot_pos': [69.58193969726562, 580.4080810546875, -1.9735119342803955]}
{'collision': 18, 'dist_obj': -400.4920992244604, 'exit_reached': 0.0, 'robot_pos': [54.0526237487793, 460.44793701171875, 0.4606839418411255]}
{'collision': 16, 'dist_obj': -390.0135805997955, 'exit_reached': 0.0, 'robot_pos': [59.985286712646484, 450.0135803222656, 0.899329662322998]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 30, 'dist_obj': -374.84935407315396, 'exit_reached': 0.0, 'robot_pos': [19.475082397460938, 432.65234375, -2.7245802879333496]}
{'collision': 26, 'dist_obj': -390.2994587373474, 'exit_reached': 0.0, 'robot_pos': [20.038368225097656, 448.248291015625, -3.0977883338928223]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1450894348436, 'exit_reached': 0.0, 'robot_pos': [17.587045669555664, 407.5668640136719, 0.786190927028656]}
{'collision': 41, 'dist_obj': -457.1983233161935, 'exit_reached': 0.0, 'robot_pos': [17.728097915649414, 515.2399291992188, -2.5884742736816406]}
{'collision': 26, 'dist_obj': -401.60578283461103, 'exit_reached': 0.0, 'robot_pos': [69.85440826416016, 461.48486328125, 2.0930137634277344]}
{'collision': 9, 'dist_obj': -390.0000000000027, 'exit_reached': 0.0, 'robot_pos': [59.99995422363281, 450.0, -1.8977965116500854]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 56, 'dist_obj': -536.135647913222, 'exit_reached': 0.0, 'robot_pos': [190.10491943359375, 580.1097412109375, 0.7854124903678894]}
{'collision': 58, 'dist_obj': -254.55167481874685, 'exit_reached': 0.0, 'robot_pos': [16.984039306640625, 310.8907775878906, -1.774351954460144]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853997349739075]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 1000, 'dist_obj': -441.5155917778596, 'exit_reached': 0.0, 'robot_pos': [97.81854248046875, 499.8929138183594, -0.5173208117485046]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 33, 'dist_obj': -355.25266510895693, 'exit_reached': 0.0, 'robot_pos': [18.157262802124023, 412.7798767089844, -2.014730215072632]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 51, 'dist_obj': -527.1589432635895, 'exit_reached': 0.0, 'robot_pos': [147.8834228515625, 579.78173828125, 1.1795885562896729]}
{'collision': 25, 'dist_obj': -350.136235863949, 'exit_reached': 0.0, 'robot_pos': [17.659698486328125, 407.5668029785156, 0.7890519499778748]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 125, 'dist_obj': -305.8545958017952, 'exit_reached': 0.0, 'robot_pos': [191.26953125, 336.2523193359375, -2.4982876777648926]}
{'collision': 56, 'dist_obj': -536.1217064264532, 'exit_reached': 0.0, 'robot_pos': [190.12066650390625, 580.0914306640625, 0.7851709723472595]}
{'collision': 24, 'dist_obj': -400.4732150091786, 'exit_reached': 0.0, 'robot_pos': [76.42537689208984, 460.13623046875, -0.5607256889343262]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1565663012247, 'exit_reached': 0.0, 'robot_pos': [17.57207679748535, 407.57659912109375, 0.7852193713188171]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 17, 'dist_obj': -387.2829134731895, 'exit_reached': 0.0, 'robot_pos': [67.49784088134766, 447.2103271484375, 0.5022110939025879]}
