## Generation 0 
{'collision': 10, 'dist_obj': -350.14863496685325, 'exit_reached': 0.0, 'robot_pos': [17.581283569335938, 407.5697326660156, 0.7858511805534363]}
{'collision': 9, 'dist_obj': -389.99993896485944, 'exit_reached': 0.0, 'robot_pos': [59.9998893737793, 449.99993896484375, -2.814589500427246]}
{'collision': 39, 'dist_obj': -486.9942763345846, 'exit_reached': 0.0, 'robot_pos': [18.106163024902344, 545.18896484375, 1.9853981733322144]}
{'collision': 25, 'dist_obj': -350.15411984248186, 'exit_reached': 0.0, 'robot_pos': [17.573266983032227, 407.57427978515625, 0.7853594422340393]}
{'collision': 25, 'dist_obj': -350.1533563022729, 'exit_reached': 0.0, 'robot_pos': [17.57356834411621, 407.57354736328125, 0.7853952050209045]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 353, 'dist_obj': -343.04760992552434, 'exit_reached': 0.0, 'robot_pos': [191.6530303955078, 376.7793273925781, -0.7933317422866821]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.15453629638387, 'exit_reached': 0.0, 'robot_pos': [17.57308006286621, 407.5746765136719, 0.7853356003761292]}
{'collision': 41, 'dist_obj': -282.3562008211916, 'exit_reached': 0.0, 'robot_pos': [78.71726989746094, 341.7351379394531, 2.3853981494903564]}
{'collision': 19, 'dist_obj': -393.5013924033483, 'exit_reached': 0.0, 'robot_pos': [67.22499084472656, 453.43505859375, 1.302213191986084]}
{'collision': 9, 'dist_obj': -390.00000000000045, 'exit_reached': 0.0, 'robot_pos': [60.00001907348633, 450.0, -1.8977925777435303]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 1000, 'dist_obj': -417.77055853875225, 'exit_reached': 0.0, 'robot_pos': [81.1243667602539, 477.23614501953125, 0.3031235933303833]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 53, 'dist_obj': -528.9528192451999, 'exit_reached': 0.0, 'robot_pos': [154.5080108642578, 580.4414672851562, 1.4069548845291138]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 105, 'dist_obj': -442.59705566348606, 'exit_reached': 0.0, 'robot_pos': [328.4666748046875, 411.8775329589844, -0.9268664717674255]}
{'collision': 1000, 'dist_obj': -375.3377508623539, 'exit_reached': 0.0, 'robot_pos': [73.84773254394531, 435.08221435546875, 2.495023488998413]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 29, 'dist_obj': -432.66008474659594, 'exit_reached': 0.0, 'robot_pos': [16.889278411865234, 490.5069274902344, 2.3848702907562256]}
{'collision': 24, 'dist_obj': -360.32364540877614, 'exit_reached': 0.0, 'robot_pos': [17.708127975463867, 417.8330993652344, 0.32202088832855225]}
{'collision': 93, 'dist_obj': -407.482284753591, 'exit_reached': 0.0, 'robot_pos': [296.22259521484375, 392.025146484375, -0.9796298742294312]}
