## Generation 0 
{'collision': 10, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 19, 'dist_obj': -376.5580261012089, 'exit_reached': 0.0, 'robot_pos': [74.54905700683594, 436.27685546875, 0.10221320390701294]}
{'collision': 56, 'dist_obj': -536.1409089719516, 'exit_reached': 0.0, 'robot_pos': [190.09512329101562, 580.1176147460938, 1.5856107473373413]}
{'collision': 77, 'dist_obj': -411.03922606634814, 'exit_reached': 0.0, 'robot_pos': [19.547916412353516, 469.0438537597656, 2.990166425704956]}
{'collision': 1000, 'dist_obj': -407.7638108629964, 'exit_reached': 0.0, 'robot_pos': [54.59573745727539, 467.7279968261719, -2.946187734603882]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 54, 'dist_obj': -500.4936459951738, 'exit_reached': 0.0, 'robot_pos': [16.89417266845703, 558.6339111328125, 1.867989182472229]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 18, 'dist_obj': -383.81921183536394, 'exit_reached': 0.0, 'robot_pos': [63.56633377075195, 443.8026428222656, 0.9800087213516235]}
{'collision': 28, 'dist_obj': -421.03360652020984, 'exit_reached': 0.0, 'robot_pos': [17.97695541381836, 478.93121337890625, 2.7853968143463135]}
{'collision': 1000, 'dist_obj': -390.03842460561924, 'exit_reached': 0.0, 'robot_pos': [59.95182800292969, 450.0384216308594, -2.1341745853424072]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.2462145858158, 'exit_reached': 0.0, 'robot_pos': [189.8988494873047, 580.2752075195312, 0.7889196276664734]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.00000000000017, 'exit_reached': 0.0, 'robot_pos': [60.0000114440918, 450.0, -1.8977904319763184]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0000000000012, 'exit_reached': 0.0, 'robot_pos': [59.999969482421875, 450.0, -1.897790551185608]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 1000, 'dist_obj': -434.2366795806419, 'exit_reached': 0.0, 'robot_pos': [97.25507354736328, 492.6355895996094, -0.7811877727508545]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 29, 'dist_obj': -371.92462960956163, 'exit_reached': 0.0, 'robot_pos': [16.650054931640625, 429.3896484375, -2.697786808013916]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 1000, 'dist_obj': -436.7014280870212, 'exit_reached': 0.0, 'robot_pos': [101.73910522460938, 494.7021789550781, -0.6140589118003845]}
{'collision': 52, 'dist_obj': -520.7486613485568, 'exit_reached': 0.0, 'robot_pos': [25.19121551513672, 579.583984375, 2.5371901988983154]}
{'collision': 9, 'dist_obj': -390.0000305175793, 'exit_reached': 0.0, 'robot_pos': [59.999969482421875, 450.0000305175781, -1.8977922201156616]}
{'collision': 25, 'dist_obj': -350.15334128050574, 'exit_reached': 0.0, 'robot_pos': [17.573692321777344, 407.57354736328125, 0.7854041457176208]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -535.5033767182226, 'exit_reached': 0.0, 'robot_pos': [190.67074584960938, 579.31591796875, 0.7699130773544312]}
{'collision': 56, 'dist_obj': -536.1374631264874, 'exit_reached': 0.0, 'robot_pos': [190.09092712402344, 580.1151123046875, 0.7865431904792786]}
{'collision': 24, 'dist_obj': -389.802145413626, 'exit_reached': 0.0, 'robot_pos': [60.12913513183594, 449.8021240234375, -2.5047731399536133]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.814601421356201]}
{'collision': 278, 'dist_obj': -258.78997059369505, 'exit_reached': 0.0, 'robot_pos': [64.33488464355469, 318.753662109375, -2.2166683673858643]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.697786808013916]}
{'collision': 56, 'dist_obj': -536.1117393323897, 'exit_reached': 0.0, 'robot_pos': [190.13278198242188, 580.078125, 0.7850697040557861]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1538319549291, 'exit_reached': 0.0, 'robot_pos': [17.573392868041992, 407.5740051269531, 0.7853743433952332]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 26, 'dist_obj': -345.5439586797714, 'exit_reached': 0.0, 'robot_pos': [18.385337829589844, 403.0289306640625, 0.9816734194755554]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 44, 'dist_obj': -517.989700046997, 'exit_reached': 0.0, 'robot_pos': [58.1309814453125, 577.986328125, 1.5853981971740723]}
{'collision': 9, 'dist_obj': -390.0018921014576, 'exit_reached': 0.0, 'robot_pos': [59.99699020385742, 450.00189208984375, -1.8984427452087402]}
{'collision': 24, 'dist_obj': -355.71396279586065, 'exit_reached': 0.0, 'robot_pos': [78.70953369140625, 415.2215881347656, 0.10214108228683472]}
{'collision': 1000, 'dist_obj': -362.47765429850045, 'exit_reached': 0.0, 'robot_pos': [65.37262725830078, 422.4378356933594, -1.045759677886963]}
{'collision': 21, 'dist_obj': -399.04583405433027, 'exit_reached': 0.0, 'robot_pos': [67.9754867553711, 458.96612548828125, 1.702213168144226]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 27, 'dist_obj': -389.3760418477419, 'exit_reached': 0.0, 'robot_pos': [16.50791358947754, 446.939453125, -2.6580986976623535]}
{'collision': 25, 'dist_obj': -350.153353297916, 'exit_reached': 0.0, 'robot_pos': [17.573593139648438, 407.57354736328125, 0.7853966951370239]}
{'collision': 53, 'dist_obj': -385.7674729277168, 'exit_reached': 0.0, 'robot_pos': [57.92110824584961, 445.7618713378906, 2.6091220378875732]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 1000, 'dist_obj': -373.5564619065831, 'exit_reached': 0.0, 'robot_pos': [87.92758178710938, 432.51104736328125, 0.07181891798973083]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 18, 'dist_obj': -390.00909442729295, 'exit_reached': 0.0, 'robot_pos': [60.012142181396484, 450.00909423828125, 1.7006856203079224]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 34, 'dist_obj': -415.6790950470179, 'exit_reached': 0.0, 'robot_pos': [92.82971954345703, 474.3806457519531, -1.3313915729522705]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 43, 'dist_obj': -413.1633658501, 'exit_reached': 0.0, 'robot_pos': [17.456401824951172, 470.9671630859375, -2.4392614364624023]}
{'collision': 62, 'dist_obj': -222.57669206034228, 'exit_reached': 0.0, 'robot_pos': [18.18576431274414, 278.61370849609375, -2.014601945877075]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1530039371724, 'exit_reached': 0.0, 'robot_pos': [17.57422637939453, 407.5732727050781, 0.7854354381561279]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 18, 'dist_obj': -385.22885399631326, 'exit_reached': 0.0, 'robot_pos': [71.42224884033203, 445.0594787597656, 0.45679327845573425]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 52, 'dist_obj': -529.1630511158475, 'exit_reached': 0.0, 'robot_pos': [165.42506408691406, 578.5548095703125, 0.9383466839790344]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
