## Generation 0 
{'collision': 10, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1330505949414, 'exit_reached': 0.0, 'robot_pos': [190.10861206054688, 580.1061401367188, 0.7853781580924988]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 582, 'dist_obj': -407.0664949258719, 'exit_reached': 0.0, 'robot_pos': [157.40078735351562, 455.2419738769531, -2.295356512069702]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 32, 'dist_obj': -355.8157516971771, 'exit_reached': 0.0, 'robot_pos': [17.84804916381836, 413.3101501464844, -2.426194906234741]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 81, 'dist_obj': -520.0807423691055, 'exit_reached': 0.0, 'robot_pos': [29.830608367919922, 579.2049560546875, 2.6550538539886475]}
{'collision': 25, 'dist_obj': -350.1496400597854, 'exit_reached': 0.0, 'robot_pos': [17.588991165161133, 407.5716857910156, 0.7860776782035828]}
{'collision': 1000, 'dist_obj': -383.1775204927067, 'exit_reached': 0.0, 'robot_pos': [69.78067779541016, 443.05267333984375, 0.8547842502593994]}
{'collision': 48, 'dist_obj': -519.7687369890106, 'exit_reached': 0.0, 'robot_pos': [22.225629806518555, 578.394287109375, 2.2037594318389893]}
{'collision': 25, 'dist_obj': -350.15903866380796, 'exit_reached': 0.0, 'robot_pos': [17.5709228515625, 407.5789489746094, 0.7850837707519531]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 417, 'dist_obj': -320.61483325662454, 'exit_reached': 0.0, 'robot_pos': [31.139795303344727, 379.3132629394531, 2.686748504638672]}
{'collision': 1000, 'dist_obj': -434.2093091429016, 'exit_reached': 0.0, 'robot_pos': [97.71075439453125, 492.5686340332031, -0.8870330452919006]}
