## Generation 0 
{'collision': 0, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 10, 'dist_obj': -414.92209472248203, 'exit_reached': 0.0, 'robot_pos': [305.07666015625, 394.81005859375, -0.8143001794815063]}
{'collision': 54, 'dist_obj': -526.7209470569345, 'exit_reached': 0.0, 'robot_pos': [146.84555053710938, 579.5120849609375, 1.6677751541137695]}
{'collision': 1000, 'dist_obj': -420.26350993194353, 'exit_reached': 0.0, 'robot_pos': [48.09901809692383, 480.094970703125, -1.3148534297943115]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 52, 'dist_obj': -442.5204695104329, 'exit_reached': 0.0, 'robot_pos': [16.886531829833984, 500.4152526855469, 1.8326760530471802]}
{'collision': 1000, 'dist_obj': -402.18538651939434, 'exit_reached': 0.0, 'robot_pos': [80.53268432617188, 461.6609191894531, -0.07010823488235474]}
{'collision': 98, 'dist_obj': -478.8331049272566, 'exit_reached': 0.0, 'robot_pos': [296.353515625, 476.43505859375, -0.7977803349494934]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.814601182937622]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 53, 'dist_obj': -520.3086360624113, 'exit_reached': 0.0, 'robot_pos': [96.86375427246094, 579.0010986328125, 1.9530787467956543]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 27, 'dist_obj': -389.26539694756, 'exit_reached': 0.0, 'robot_pos': [17.446025848388672, 446.93243408203125, -2.9693429470062256]}
{'collision': 41, 'dist_obj': -312.4266504411978, 'exit_reached': 0.0, 'robot_pos': [17.409988403320312, 369.5101013183594, 0.9424647092819214]}
{'collision': 1000, 'dist_obj': -461.7161510773354, 'exit_reached': 0.0, 'robot_pos': [132.26287841796875, 516.0261840820312, 1.3647208213806152]}
{'collision': 104, 'dist_obj': -438.6602596605747, 'exit_reached': 0.0, 'robot_pos': [325.27685546875, 409.3580017089844, -0.8181341886520386]}
{'collision': 64, 'dist_obj': -514.1643722247145, 'exit_reached': 0.0, 'robot_pos': [239.69139099121094, 541.74267578125, 0.200717031955719]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 19, 'dist_obj': -390.01996853284606, 'exit_reached': 0.0, 'robot_pos': [48.62215805053711, 449.8539733886719, 3.123457193374634]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 24, 'dist_obj': -405.1904643208825, 'exit_reached': 0.0, 'robot_pos': [65.1563491821289, 465.15765380859375, 2.501051425933838]}
{'collision': 17, 'dist_obj': -391.41458630283427, 'exit_reached': 0.0, 'robot_pos': [56.248355865478516, 451.3966064453125, -3.0981194972991943]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -389.9990234375606, 'exit_reached': 0.0, 'robot_pos': [60.00021743774414, 449.9990234375, -1.8979064226150513]}
{'collision': 49, 'dist_obj': -520.0332978188198, 'exit_reached': 0.0, 'robot_pos': [110.69025421142578, 577.556884765625, 1.5772013664245605]}
{'collision': 54, 'dist_obj': -251.75117854244647, 'exit_reached': 0.0, 'robot_pos': [17.138465881347656, 308.07568359375, -1.8709063529968262]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 49, 'dist_obj': -521.8594332217858, 'exit_reached': 0.0, 'robot_pos': [104.97515106201172, 579.9177856445312, 1.8076856136322021]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977879285812378]}
