## Generation 0 
{'collision': 0, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 10, 'dist_obj': -390.29945795619585, 'exit_reached': 0.0, 'robot_pos': [20.038375854492188, 448.248291015625, -3.0977869033813477]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146004676818848]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 32, 'dist_obj': -355.2535452160352, 'exit_reached': 0.0, 'robot_pos': [18.158281326293945, 412.7808837890625, -2.4145960807800293]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 93, 'dist_obj': -407.84117738374226, 'exit_reached': 0.0, 'robot_pos': [296.85406494140625, 392.01593017578125, -0.8146018385887146]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 61, 'dist_obj': -268.6795744619243, 'exit_reached': 0.0, 'robot_pos': [157.0184326171875, 310.5516662597656, -1.368945837020874]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, 1.1853982210159302]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 430, 'dist_obj': -380.5240529823985, 'exit_reached': 0.0, 'robot_pos': [29.827239990234375, 439.325927734375, 1.3578457832336426]}
{'collision': 56, 'dist_obj': -536.1331426918704, 'exit_reached': 0.0, 'robot_pos': [190.10581970214844, 580.10693359375, 0.7865747809410095]}
{'collision': 27, 'dist_obj': -383.1491152380928, 'exit_reached': 0.0, 'robot_pos': [45.867774963378906, 442.8883972167969, -0.7177739143371582]}
{'collision': 9, 'dist_obj': -390.0002746584207, 'exit_reached': 0.0, 'robot_pos': [59.99958801269531, 450.0002746582031, -1.897876262664795]}
{'collision': 1000, 'dist_obj': -442.1676378982813, 'exit_reached': 0.0, 'robot_pos': [36.5765495300293, 501.5467834472656, -1.3255090713500977]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 44, 'dist_obj': -517.989700762776, 'exit_reached': 0.0, 'robot_pos': [58.13078308105469, 577.986328125, 1.5854196548461914]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 55, 'dist_obj': -533.2460411542262, 'exit_reached': 0.0, 'robot_pos': [186.2292022705078, 578.0902709960938, 0.8014316558837891]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 55, 'dist_obj': -523.8545586488249, 'exit_reached': 0.0, 'robot_pos': [126.8179931640625, 579.5757446289062, 1.9571659564971924]}
{'collision': 26, 'dist_obj': -391.3456433031563, 'exit_reached': 0.0, 'robot_pos': [19.941864013671875, 449.2900695800781, -3.119896173477173]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
